datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali
2021-01-04 10:00:00+05:30,1500.0,44.5,4.5,208.0,149.0,8.5,10,4,1,0,0,1,0
2021-01-04 11:00:00+05:30,1266.6666666666667,35.93333333333334,8.766666666666667,188.33333333333331,131.0,8.133333333333333,11,4,1,0,0,1,0
2021-01-04 12:00:00+05:30,1033.3333333333337,27.366666666666667,13.033333333333337,168.66666666666666,113.0,7.766666666666667,12,4,1,0,0,1,0
2021-01-04 13:00:00+05:30,800.0,18.8,17.3,149.0,95.0,7.4,13,4,1,0,0,1,0
2021-01-04 14:00:00+05:30,1066.6666666666667,25.666666666666668,19.2,150.0,99.0,7.5,14,4,1,0,0,1,0
2021-01-04 15:00:00+05:30,1000.0,25.0,20.8,172.0,105.0,7.6,15,4,1,0,0,1,0
2021-01-04 16:00:00+05:30,1550.0,37.2,11.45,201.0,108.0,6.55,16,4,1,0,0,1,0
2021-01-04 17:00:00+05:30,2100.0,49.4,2.1,230.0,111.0,5.5,17,4,1,0,0,1,0
2021-01-04 18:00:00+05:30,1000.0,21.65,5.0,244.0,151.0,3.05,18,4,1,0,0,1,0
2021-01-04 19:00:00+05:30,1100.0,17.4,7.5,149.0,111.0,2.6,19,4,1,0,0,1,0
2021-01-04 20:00:00+05:30,1000.0,11.0,12.3,101.0,77.0,1.7,20,4,1,0,0,1,0
2021-01-04 21:00:00+05:30,1000.0,13.766666666666667,10.1,83.0,61.66666666666666,2.0666666666666664,21,4,1,0,0,1,0
2021-01-04 22:00:00+05:30,1000.0,16.533333333333335,7.9,65.0,46.33333333333333,2.433333333333333,22,4,1,0,0,1,0
2021-01-04 23:00:00+05:30,1000.0,19.3,5.7,47.0,31.0,2.8,23,4,1,0,0,1,0
2021-01-05 00:00:00+05:30,800.0,24.05,7.116666666666667,47.0,35.5,2.75,0,5,1,1,0,1,0
2021-01-05 01:00:00+05:30,600.0,28.8,8.533333333333333,47.0,40.0,2.7,1,5,1,1,0,1,0
2021-01-05 02:00:00+05:30,650.0,20.9,9.95,72.0,48.0,2.45,2,5,1,1,0,1,0
2021-01-05 03:00:00+05:30,700.0,13.0,3.7,45.0,33.0,2.2,3,5,1,1,0,1,0
2021-01-05 04:00:00+05:30,600.0,27.2,1.9,52.0,35.0,2.4,4,5,1,1,0,1,0
2021-01-05 05:00:00+05:30,500.0,10.15,9.05,34.0,27.0,2.4,5,5,1,1,0,1,0
2021-01-05 06:00:00+05:30,533.3333333333334,14.475,7.125,34.0,19.0,2.65,6,5,1,1,0,1,0
2021-01-05 07:00:00+05:30,700.0,14.55,5.3,47.0,24.0,2.9,7,5,1,1,0,1,0
2021-01-05 08:00:00+05:30,900.0,19.4,1.8,68.0,40.0,2.2,8,5,1,1,0,1,0
2021-01-05 09:00:00+05:30,1100.0,19.55,2.55,96.0,67.0,3.1500000000000004,9,5,1,1,0,1,0
2021-01-05 10:00:00+05:30,1225.0,18.85,4.05,114.0,86.0,3.4333333333333336,10,5,1,1,0,1,0
2021-01-05 11:00:00+05:30,1100.0,14.95,6.550000000000001,136.0,99.0,5.65,11,5,1,1,0,1,0
2021-01-05 12:00:00+05:30,1137.5,17.35625,5.793750000000001,135.25,97.625,5.30625,12,5,1,1,0,1,0
2021-01-05 13:00:00+05:30,1175.0,19.7625,5.0375000000000005,134.5,96.25,4.9625,13,5,1,1,0,1,0
2021-01-05 14:00:00+05:30,1212.5,22.16875,4.28125,133.75,94.875,4.61875,14,5,1,1,0,1,0
2021-01-05 15:00:00+05:30,1250.0,24.575000000000003,3.5250000000000004,133.0,93.5,4.275,15,5,1,1,0,1,0
2021-01-05 16:00:00+05:30,1287.5,26.981250000000003,2.7687500000000003,132.25,92.125,3.93125,16,5,1,1,0,1,0
2021-01-05 17:00:00+05:30,1325.0,29.387500000000003,2.0125,131.5,90.75,3.5875,17,5,1,1,0,1,0
2021-01-05 18:00:00+05:30,1362.5,31.793750000000003,1.2562500000000003,130.75,89.375,3.24375,18,5,1,1,0,1,0
2021-01-05 19:00:00+05:30,1400.0,34.2,0.5,130.0,88.0,2.9,19,5,1,1,0,1,0
2021-01-05 20:00:00+05:30,1400.0,33.833333333333336,0.6333333333333333,129.0,88.33333333333333,3.1,20,5,1,1,0,1,0
2021-01-05 21:00:00+05:30,1400.0,33.46666666666667,0.7666666666666667,128.0,88.66666666666667,3.3,21,5,1,1,0,1,0
2021-01-05 22:00:00+05:30,1400.0,33.1,0.9,127.0,89.0,3.5,22,5,1,1,0,1,0
2021-01-05 23:00:00+05:30,1700.0,26.6,1.2,166.0,108.0,3.4,23,5,1,1,0,1,0
2021-01-06 00:00:00+05:30,1550.0,25.65,16.533333333333335,175.0,113.33333333333331,3.7,0,6,1,2,0,1,0
2021-01-06 01:00:00+05:30,1400.0,24.7,31.866666666666667,184.0,118.66666666666669,4.0,1,6,1,2,0,1,0
2021-01-06 02:00:00+05:30,1400.0,22.35,47.2,193.0,124.0,4.7,2,6,1,2,0,1,0
2021-01-06 03:00:00+05:30,1400.0,20.0,15.1,205.0,141.0,5.4,3,6,1,2,0,1,0
2021-01-06 04:00:00+05:30,1200.0,14.7,4.2,221.0,155.0,4.45,4,6,1,2,0,1,0
2021-01-06 05:00:00+05:30,1000.0,19.6,4.2,178.0,123.0,3.5,5,6,1,2,0,1,0
2021-01-06 06:00:00+05:30,1150.0,16.25,5.15,157.0,101.0,3.7,6,6,1,2,0,1,0
2021-01-06 07:00:00+05:30,1333.3333333333333,17.23333333333333,10.1,155.0,101.0,3.9,7,6,1,2,0,1,0
2021-01-06 08:00:00+05:30,1416.6666666666663,19.266666666666666,5.625,167.0,118.0,3.775,8,6,1,2,0,1,0
2021-01-06 09:00:00+05:30,1500.0,21.3,1.15,179.0,135.0,3.65,9,6,1,2,0,1,0
2021-01-06 10:00:00+05:30,1700.0,23.6,1.4,190.0,150.0,4.6,10,6,1,2,0,1,0
2021-01-06 11:00:00+05:30,1700.0,26.6,2.8,185.0,157.0,5.0,11,6,1,2,0,1,0
2021-01-06 12:00:00+05:30,1900.0,36.0,3.5,229.0,191.0,5.6,12,6,1,2,0,1,0
2021-01-06 13:00:00+05:30,2000.0,41.3,9.65,258.0,198.5,7.15,13,6,1,2,0,1,0
2021-01-06 14:00:00+05:30,2100.0,46.6,15.8,287.0,206.0,8.7,14,6,1,2,0,1,0
2021-01-06 15:00:00+05:30,1550.0,33.95,14.3,313.0,237.0,7.7,15,6,1,2,0,1,0
2021-01-06 16:00:00+05:30,1500.0,30.6,12.6,263.0,197.0,5.9,16,6,1,2,0,1,0
2021-01-06 17:00:00+05:30,1450.0,27.65,10.9,280.5,196.0,4.300000000000001,17,6,1,2,0,1,0
2021-01-06 18:00:00+05:30,1400.0,24.7,9.2,298.0,195.0,2.7,18,6,1,2,0,1,0
2021-01-06 19:00:00+05:30,1300.0,22.55,7.5,310.0,199.0,2.2,19,6,1,2,0,1,0
2021-01-06 20:00:00+05:30,1100.0,19.0,6.0,301.0,175.0,2.65,20,6,1,2,0,1,0
2021-01-06 21:00:00+05:30,1000.0,15.35,3.3,310.0,177.0,3.5,21,6,1,2,0,1,0
2021-01-06 22:00:00+05:30,900.0,15.875,2.65,293.5,164.0,3.35,22,6,1,2,0,1,0
2021-01-06 23:00:00+05:30,800.0,16.4,2.0,277.0,151.0,3.2,23,6,1,2,0,1,0
2021-01-07 00:00:00+05:30,800.0,13.075,5.3,238.5,136.5,2.6,0,7,1,3,0,1,0
2021-01-07 01:00:00+05:30,800.0,9.75,5.5,200.0,122.0,2.0,1,7,1,3,0,1,0
2021-01-07 02:00:00+05:30,500.0,13.4,5.7,188.0,118.0,2.0,2,7,1,3,0,1,0
2021-01-07 03:00:00+05:30,500.0,12.9,6.7,180.0,117.0,1.8,3,7,1,3,0,1,0
2021-01-07 04:00:00+05:30,466.6666666666667,8.766666666666667,7.5,163.0,114.0,1.7333333333333334,4,7,1,3,0,1,0
2021-01-07 05:00:00+05:30,450.0,9.3,7.4,156.0,106.0,2.0,5,7,1,3,0,1,0
2021-01-07 06:00:00+05:30,750.0,10.675,7.65,159.0,106.0,2.0,6,7,1,3,0,1,0
2021-01-07 07:00:00+05:30,1050.0,12.05,7.9,162.0,106.0,2.0,7,7,1,3,0,1,0
2021-01-07 08:00:00+05:30,1200.0,13.85,8.3,169.0,122.0,2.2,8,7,1,3,0,1,0
2021-01-07 09:00:00+05:30,1100.0,12.675,10.25,164.5,119.0,2.45,9,7,1,3,0,1,0
2021-01-07 10:00:00+05:30,1000.0,11.5,12.2,160.0,116.0,2.7,10,7,1,3,0,1,0
2021-01-07 11:00:00+05:30,800.0,9.6,18.3,164.0,114.0,3.7,11,7,1,3,0,1,0
2021-01-07 12:00:00+05:30,800.0,9.783333333333331,19.03333333333333,166.0,113.5,3.65,12,7,1,3,0,1,0
2021-01-07 13:00:00+05:30,800.0,9.966666666666669,19.766666666666666,168.0,113.0,3.6,13,7,1,3,0,1,0
2021-01-07 14:00:00+05:30,800.0,10.5,22.5,172.0,116.0,4.1,14,7,1,3,0,1,0
2021-01-07 15:00:00+05:30,700.0,10.9,24.3,156.0,114.0,3.757142857142857,15,7,1,3,0,1,0
2021-01-07 16:00:00+05:30,800.0,14.4,20.0,138.0,95.0,3.414285714285714,16,7,1,3,0,1,0
2021-01-07 17:00:00+05:30,900.0,31.0,7.9,169.0,103.0,3.071428571428571,17,7,1,3,0,1,0
2021-01-07 18:00:00+05:30,1033.3333333333333,29.85,5.866666666666667,212.66666666666663,128.0,2.7285714285714286,18,7,1,3,0,1,0
2021-01-07 19:00:00+05:30,1166.6666666666663,28.7,3.833333333333333,256.3333333333333,153.0,2.385714285714286,19,7,1,3,0,1,0
2021-01-07 20:00:00+05:30,1300.0,27.55,1.8,300.0,178.0,2.042857142857143,20,7,1,3,0,1,0
2021-01-07 21:00:00+05:30,1200.0,26.3,1.95,255.0,141.0,1.7,21,7,1,3,0,1,0
