datetime,T2M,WS2M,RH2M,PRECTOTCORR
2021-01-01 00:00:00,6.96,1.27,42.42,0.0
2021-01-01 01:00:00,6.43,1.27,44.15,0.0
2021-01-01 02:00:00,5.98,1.27,45.54,0.0
2021-01-01 03:00:00,5.17,1.29,48.17,0.0
2021-01-01 04:00:00,4.8,1.27,49.62,0.0
2021-01-01 05:00:00,4.65,1.26,50.35,0.0
2021-01-01 06:00:00,5.05,1.22,49.17,0.0
2021-01-01 07:00:00,7.02,0.84,43.09,0.0
2021-01-01 08:00:00,10.22,0.9,34.98,0.0
2021-01-01 09:00:00,13.32,0.27,28.83,0.0
2021-01-01 10:00:00,18.89,1.02,18.8,0.0
2021-01-01 11:00:00,20.52,1.03,17.7,0.0
2021-01-01 12:00:00,21.25,0.78,17.72,0.0
2021-01-01 13:00:00,21.55,0.59,18.18,0.0
2021-01-01 14:00:00,21.48,0.52,18.87,0.0
2021-01-01 15:00:00,20.69,0.5,21.04,0.0
2021-01-01 16:00:00,18.68,0.56,23.91,0.0
2021-01-01 17:00:00,17.3,0.7,25.13,0.0
2021-01-01 18:00:00,16.35,0.73,26.53,0.0
2021-01-01 19:00:00,16.0,0.75,26.96,0.0
2021-01-01 20:00:00,15.5,0.7,27.58,0.0
2021-01-01 21:00:00,15.17,0.69,27.71,0.0
2021-01-01 22:00:00,14.05,0.74,29.2,0.0
2021-01-01 23:00:00,13.55,0.95,29.64,0.0
2021-01-02 00:00:00,12.77,1.06,30.53,0.0
2021-01-02 01:00:00,12.47,1.04,30.26,0.0
2021-01-02 02:00:00,12.42,0.97,29.36,0.0
2021-01-02 03:00:00,12.26,0.95,28.77,0.01
2021-01-02 04:00:00,12.14,0.95,28.45,0.06
2021-01-02 05:00:00,12.27,0.96,28.33,0.08
2021-01-02 06:00:00,12.34,0.94,28.65,0.03
2021-01-02 07:00:00,13.15,0.7,29.09,0.0
2021-01-02 08:00:00,13.83,0.76,31.38,28.47
2021-01-02 09:00:00,13.09,0.69,40.57,42.6
2021-01-02 10:00:00,13.15,1.33,47.96,39.61
2021-01-02 11:00:00,14.37,2.09,50.36,30.37
2021-01-02 12:00:00,16.81,2.44,50.55,13.48
2021-01-02 13:00:00,17.55,2.6,52.83,3.8
2021-01-02 14:00:00,17.63,2.71,56.43,0.74
2021-01-02 15:00:00,17.04,2.53,60.83,0.65
2021-01-02 16:00:00,14.97,1.23,71.94,0.42
2021-01-02 17:00:00,13.06,1.17,78.64,0.17
2021-01-02 18:00:00,13.02,1.81,79.1,0.61
2021-01-02 19:00:00,12.71,2.29,81.5,1.15
2021-01-02 20:00:00,12.17,2.03,85.67,3.29
2021-01-02 21:00:00,11.53,1.54,90.38,3.93
2021-01-02 22:00:00,11.47,1.44,92.12,4.05
2021-01-02 23:00:00,11.84,1.54,91.9,3.19
2021-01-03 00:00:00,12.21,1.64,91.99,2.5
2021-01-03 01:00:00,12.54,1.78,92.59,3.4
2021-01-03 02:00:00,12.68,1.84,94.51,8.43
2021-01-03 03:00:00,12.71,1.79,96.43,16.05
2021-01-03 04:00:00,12.91,1.79,97.08,17.82
2021-01-03 05:00:00,13.1,1.72,97.27,11.44
2021-01-03 06:00:00,13.27,1.75,97.2,4.29
2021-01-03 07:00:00,13.9,2.44,95.23,3.71
2021-01-03 08:00:00,14.94,3.39,92.32,62.44
2021-01-03 09:00:00,16.71,3.73,87.26,75.15
2021-01-03 10:00:00,18.38,3.88,79.98,64.25
2021-01-03 11:00:00,19.79,4.21,72.62,92.12
2021-01-03 12:00:00,20.67,4.36,68.57,56.52
2021-01-03 13:00:00,21.1,4.35,66.79,20.17
2021-01-03 14:00:00,21.12,3.95,66.81,5.81
2021-01-03 15:00:00,20.17,2.69,73.15,1.87
2021-01-03 16:00:00,18.09,1.81,83.54,0.58
2021-01-03 17:00:00,16.77,2.09,85.68,0.96
2021-01-03 18:00:00,15.94,2.25,87.86,1.23
2021-01-03 19:00:00,14.84,2.0,92.49,0.95
2021-01-03 20:00:00,14.49,2.49,93.64,0.64
2021-01-03 21:00:00,14.36,2.85,94.19,0.38
2021-01-03 22:00:00,14.4,2.62,94.3,0.18
2021-01-03 23:00:00,13.94,2.0,97.13,0.11
2021-01-04 00:00:00,13.51,1.63,99.76,0.09
2021-01-04 01:00:00,12.84,1.27,100.0,0.08
2021-01-04 02:00:00,12.23,1.08,100.0,0.06
2021-01-04 03:00:00,11.8,1.03,100.0,0.02
2021-01-04 04:00:00,11.54,0.99,100.0,0.03
2021-01-04 05:00:00,11.53,0.99,100.0,0.17
2021-01-04 06:00:00,11.53,0.99,100.0,0.26
2021-01-04 07:00:00,13.3,0.9,98.98,0.36
2021-01-04 08:00:00,15.73,1.38,88.97,0.05
2021-01-04 09:00:00,19.23,1.48,73.54,0.02
2021-01-04 10:00:00,22.19,1.84,59.77,0.11
2021-01-04 11:00:00,24.44,2.25,50.23,0.46
2021-01-04 12:00:00,25.8,2.71,44.1,0.84
2021-01-04 13:00:00,26.26,3.11,40.72,0.25
2021-01-04 14:00:00,25.89,3.3,39.57,0.01
2021-01-04 15:00:00,24.78,2.9,41.45,0.0
2021-01-04 16:00:00,21.0,1.22,55.62,0.0
2021-01-04 17:00:00,17.92,1.18,63.11,0.0
2021-01-04 18:00:00,18.07,1.82,64.02,0.0
2021-01-04 19:00:00,17.52,4.94,72.31,0.02
2021-01-04 20:00:00,16.19,2.96,82.98,0.0
2021-01-04 21:00:00,15.35,0.97,86.18,0.0
2021-01-04 22:00:00,15.43,1.07,84.05,0.0
2021-01-04 23:00:00,14.19,0.96,90.67,0.02
2021-01-05 00:00:00,13.84,1.16,93.17,0.03
2021-01-05 01:00:00,13.89,2.21,94.01,0.04
2021-01-05 02:00:00,14.18,4.07,94.2,0.06
2021-01-05 03:00:00,14.13,3.32,95.62,0.12
2021-01-05 04:00:00,14.37,3.02,95.03,0.45
2021-01-05 05:00:00,14.41,3.22,95.89,1.38
2021-01-05 06:00:00,13.84,2.38,99.27,8.35
2021-01-05 07:00:00,14.68,2.4,94.74,43.55
2021-01-05 08:00:00,16.09,2.97,88.66,11.38
2021-01-05 09:00:00,18.09,2.0,78.68,5.19
2021-01-05 10:00:00,20.42,1.73,64.35,0.48
2021-01-05 11:00:00,22.06,2.38,54.6,0.02
2021-01-05 12:00:00,22.85,2.59,49.93,0.03
2021-01-05 13:00:00,23.75,2.35,46.02,0.07
2021-01-05 14:00:00,24.13,2.56,43.63,0.05
2021-01-05 15:00:00,23.14,2.03,47.41,0.03
2021-01-05 16:00:00,20.56,1.12,59.73,0.02
2021-01-05 17:00:00,19.05,1.26,62.13,0.02
2021-01-05 18:00:00,18.29,1.42,63.11,0.01
2021-01-05 19:00:00,17.1,1.44,65.39,0.01
2021-01-05 20:00:00,16.41,1.43,66.56,0.01
2021-01-05 21:00:00,15.75,1.39,68.1,0.02
2021-01-05 22:00:00,15.13,1.3,69.56,0.04
2021-01-05 23:00:00,14.66,1.15,70.75,0.08
2021-01-06 00:00:00,15.17,0.94,69.29,0.09
2021-01-06 01:00:00,15.04,0.64,70.5,0.23
2021-01-06 02:00:00,15.28,0.3,69.85,0.32
2021-01-06 03:00:00,15.02,0.35,72.02,0.34
2021-01-06 04:00:00,14.52,0.59,75.07,1.38
2021-01-06 05:00:00,14.3,0.63,78.23,4.7
2021-01-06 06:00:00,14.24,0.61,80.95,9.23
2021-01-06 07:00:00,14.78,0.68,81.74,26.97
2021-01-06 08:00:00,14.99,1.21,82.66,65.79
2021-01-06 09:00:00,15.62,1.65,81.29,53.35
2021-01-06 10:00:00,16.95,2.04,75.45,21.15
2021-01-06 11:00:00,19.22,2.04,65.61,3.48
2021-01-06 12:00:00,20.7,1.63,59.91,3.4
2021-01-06 13:00:00,21.19,1.24,58.33,3.14
2021-01-06 14:00:00,21.18,1.03,58.46,1.99
2021-01-06 15:00:00,20.64,0.78,61.01,0.65
2021-01-06 16:00:00,19.2,0.43,68.83,0.09
2021-01-06 17:00:00,18.22,0.5,68.48,0.13
2021-01-06 18:00:00,17.45,0.52,72.08,0.02
2021-01-06 19:00:00,16.35,0.62,77.59,0.01
2021-01-06 20:00:00,15.48,0.82,82.05,0.07
2021-01-06 21:00:00,14.4,0.95,87.78,0.09
2021-01-06 22:00:00,13.27,1.0,94.16,0.39
2021-01-06 23:00:00,12.45,1.02,98.69,0.8
2021-01-07 00:00:00,11.94,1.11,100.0,0.96
2021-01-07 01:00:00,11.5,1.22,100.0,1.11
2021-01-07 02:00:00,11.13,1.32,100.0,1.14
2021-01-07 03:00:00,10.83,1.38,100.0,1.11
2021-01-07 04:00:00,10.56,1.39,100.0,1.02
2021-01-07 05:00:00,10.25,1.39,100.0,0.94
2021-01-07 06:00:00,9.95,1.45,100.0,0.9
2021-01-07 07:00:00,11.49,2.52,94.5,0.56
2021-01-07 08:00:00,13.02,2.67,88.36,0.0
2021-01-07 09:00:00,16.06,2.43,75.73,0.0
2021-01-07 10:00:00,19.66,2.4,59.16,0.0
2021-01-07 11:00:00,20.98,1.82,51.49,0.0
2021-01-07 12:00:00,21.67,1.61,47.11,0.0
2021-01-07 13:00:00,21.84,1.65,44.78,0.0
2021-01-07 14:00:00,21.55,1.78,43.9,0.0
2021-01-07 15:00:00,20.63,1.83,45.47,0.0
2021-01-07 16:00:00,17.39,0.96,58.75,0.0
2021-01-07 17:00:00,14.7,1.12,64.99,0.0
2021-01-07 18:00:00,13.74,1.18,68.4,0.0
2021-01-07 19:00:00,12.95,1.21,71.75,0.0
2021-01-07 20:00:00,12.28,1.24,74.99,0.0
2021-01-07 21:00:00,11.7,1.25,78.03,0.0
2021-01-07 22:00:00,11.16,1.25,80.96,0.0
2021-01-07 23:00:00,10.69,1.29,83.75,0.0
2021-01-08 00:00:00,10.3,1.33,86.19,0.0
2021-01-08 01:00:00,9.96,1.38,88.02,0.0
2021-01-08 02:00:00,9.62,1.41,89.5,0.0
2021-01-08 03:00:00,9.25,1.4,90.92,0.0
2021-01-08 04:00:00,8.89,1.28,92.62,0.0
2021-01-08 05:00:00,8.63,1.16,93.88,0.0
2021-01-08 06:00:00,8.61,1.07,94.08,0.0
2021-01-08 07:00:00,11.01,1.27,80.63,0.0
2021-01-08 08:00:00,13.62,1.74,69.09,1.24
