datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2
2021-01-01 17:15:00+05:30,900.0,71.8,67.5,,,11.1
2021-01-04 10:30:00+05:30,800.0,58.8,10.7,103.0,64.0,11.2
2021-01-04 12:00:00+05:30,900.0,73.3,27.5,135.0,99.0,8.6
2021-01-04 13:00:00+05:30,900.0,77.7,38.9,161.0,100.0,9.1
2021-01-04 14:00:00+05:30,1300.0,101.0,39.3,215.0,127.0,9.7
2021-01-04 14:15:00+05:30,1300.0,107.2,41.0,215.0,127.0,9.5
2021-01-04 14:30:00+05:30,1100.0,95.4,43.5,215.0,127.0,10.2
2021-01-04 15:00:00+05:30,1300.0,95.4,48.3,218.0,128.0,13.1
2021-01-04 15:15:00+05:30,1800.0,111.5,50.3,218.0,128.0,14.4
2021-01-04 16:45:00+05:30,,107.8,9.9,277.0,169.0,11.9
2021-01-04 18:15:00+05:30,1100.0,76.3,11.7,288.0,221.0,12.2
2021-01-04 19:00:00+05:30,600.0,40.5,31.8,174.0,147.0,9.6
2021-01-04 21:30:00+05:30,500.0,40.4,38.1,79.0,79.0,9.0
2021-01-04 23:30:00+05:30,400.0,36.1,22.7,39.0,33.0,9.1
2021-01-05 01:15:00+05:30,400.0,42.1,,44.0,34.0,8.8
2021-01-05 02:00:00+05:30,,,17.1,45.0,39.0,
2021-01-05 02:30:00+05:30,,,16.0,45.0,39.0,
2021-01-05 03:00:00+05:30,300.0,42.3,12.9,51.0,44.0,7.4
2021-01-05 05:15:00+05:30,200.0,33.0,30.8,40.0,30.0,8.1
2021-01-05 06:00:00+05:30,300.0,44.0,14.1,25.0,19.0,10.3
2021-01-05 06:30:00+05:30,400.0,49.6,10.8,25.0,19.0,10.3
2021-01-05 06:45:00+05:30,400.0,50.0,10.6,35.0,33.0,10.5
2021-01-05 07:15:00+05:30,500.0,50.6,8.4,35.0,33.0,10.9
2021-01-05 07:45:00+05:30,600.0,54.5,6.5,51.0,38.0,
2021-01-05 08:45:00+05:30,800.0,46.2,5.1,69.0,55.0,11.7
2021-01-05 09:00:00+05:30,800.0,41.8,5.8,69.0,55.0,11.2
2021-01-05 09:45:00+05:30,1200.0,48.0,6.7,85.0,69.0,10.2
2021-01-05 10:00:00+05:30,1200.0,51.0,6.8,85.0,69.0,10.5
2021-01-05 10:15:00+05:30,1200.0,51.8,6.0,85.0,69.0,11.2
2021-01-05 10:30:00+05:30,1200.0,46.3,7.9,85.0,69.0,11.1
2021-01-05 10:45:00+05:30,,51.5,8.1,103.0,86.0,11.2
