datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2
2021-01-04 10:30:00+05:30,1500.0,44.5,4.5,208.0,149.0,8.5
2021-01-04 13:00:00+05:30,800.0,18.8,17.3,149.0,95.0,7.4
2021-01-04 14:15:00+05:30,900.0,19.2,22.2,150.0,99.0,7.7
2021-01-04 14:30:00+05:30,1100.0,26.9,18.1,150.0,99.0,7.8
2021-01-04 14:45:00+05:30,1200.0,30.9,17.3,150.0,99.0,7.0
2021-01-04 15:15:00+05:30,1000.0,26.2,20.4,172.0,105.0,7.5
2021-01-04 15:30:00+05:30,1000.0,23.8,21.2,172.0,105.0,7.7
2021-01-04 17:00:00+05:30,2100.0,49.4,2.1,230.0,111.0,5.5
2021-01-04 18:15:00+05:30,1000.0,23.3,4.4,244.0,151.0,3.3
2021-01-04 18:45:00+05:30,,20.0,5.6,244.0,151.0,2.8
2021-01-04 19:00:00+05:30,1100.0,17.4,7.5,149.0,111.0,2.6
2021-01-04 20:45:00+05:30,1000.0,11.0,12.3,101.0,77.0,1.7
2021-01-04 23:30:00+05:30,1000.0,19.3,5.7,47.0,31.0,2.8
2021-01-05 01:15:00+05:30,600.0,28.8,,47.0,40.0,2.7
2021-01-05 02:00:00+05:30,,,10.5,72.0,48.0,
2021-01-05 02:15:00+05:30,,,9.4,72.0,48.0,
2021-01-05 03:15:00+05:30,700.0,13.0,3.7,45.0,33.0,2.2
2021-01-05 04:00:00+05:30,600.0,27.2,1.9,52.0,35.0,2.4
2021-01-05 05:15:00+05:30,500.0,13.2,6.8,34.0,27.0,2.3
2021-01-05 05:45:00+05:30,500.0,7.1,11.3,34.0,27.0,2.5
2021-01-05 06:00:00+05:30,500.0,11.5,8.6,34.0,19.0,2.7
2021-01-05 06:15:00+05:30,600.0,17.2,5.4,34.0,19.0,2.5
2021-01-05 06:30:00+05:30,500.0,15.9,6.5,34.0,19.0,2.6
2021-01-05 06:45:00+05:30,,13.3,8.0,34.0,19.0,2.8
2021-01-05 07:15:00+05:30,700.0,13.9,5.8,47.0,24.0,2.8
2021-01-05 07:45:00+05:30,700.0,15.2,4.8,47.0,24.0,3.0
2021-01-05 08:45:00+05:30,900.0,19.4,1.8,68.0,40.0,2.2
2021-01-05 09:15:00+05:30,,18.7,2.5,96.0,67.0,3.1
2021-01-05 09:45:00+05:30,1100.0,20.4,2.6,96.0,67.0,3.2
2021-01-05 10:00:00+05:30,1200.0,18.7,3.3,114.0,86.0,3.2
2021-01-05 10:15:00+05:30,1200.0,18.5,4.3,114.0,86.0,3.4
2021-01-05 10:30:00+05:30,1200.0,18.9,4.3,114.0,86.0,3.7
2021-01-05 10:45:00+05:30,1300.0,19.3,4.3,114.0,86.0,
2021-01-05 11:15:00+05:30,1100.0,15.9,5.4,136.0,99.0,5.5
2021-01-05 11:45:00+05:30,1100.0,14.0,7.7,136.0,99.0,5.8
2021-01-05 19:30:00+05:30,1400.0,34.2,0.5,130.0,88.0,2.9
2021-01-05 22:00:00+05:30,1400.0,33.1,0.9,127.0,89.0,3.5
2021-01-05 23:15:00+05:30,1700.0,26.6,1.2,166.0,108.0,3.4
